date,close
05/18/2009,5.5386
05/19/2009,5.6614
05/20/2009,5.75
05/21/2009,5.5871
05/22/2009,5.5429
05/26/2009,5.7271
05/27/2009,5.5614
05/28/2009,5.5057
05/29/2009,5.6314
06/01/2009,5.8486
06/02/2009,5.8814
06/03/2009,5.7857
06/04/2009,5.8157
06/05/2009,5.5986
06/08/2009,5.5443
06/09/2009,5.5729
06/10/2009,5.4086
06/11/2009,5.3914
06/12/2009,5.4057
06/15/2009,5.4514
06/16/2009,5.4043
06/17/2009,5.7714
06/18/2009,5.9014
06/19/2009,5.9414
06/22/2009,5.7929
06/23/2009,5.6529
06/24/2009,5.6557
06/25/2009,5.8729
06/26/2009,5.7671
06/29/2009,5.8857
06/30/2009,5.9057
07/01/2009,5.8029
07/02/2009,5.7029
07/06/2009,5.6829
07/07/2009,5.5429
07/08/2009,5.5286
07/09/2009,5.7071
07/10/2009,5.7243
07/13/2009,6.0271
07/14/2009,6.1857
07/15/2009,6.3443
07/16/2009,6.3043
07/17/2009,6.3057
07/20/2009,6.4029
07/21/2009,6.3971
07/22/2009,6.4686
07/23/2009,6.6371
07/24/2009,6.0286
07/27/2009,5.9571
07/28/2009,6.0486
07/29/2009,6.1
07/30/2009,6.23
07/31/2009,6.2771
08/03/2009,6.4243
08/04/2009,6.3114
08/05/2009,6.33
08/06/2009,6.2143
08/07/2009,6.4286
08/10/2009,6.5429
08/11/2009,6.5843
08/12/2009,6.6114
08/13/2009,6.6114
08/14/2009,6.3557
08/17/2009,6.1586
08/18/2009,6.2214
08/19/2009,6.41
08/20/2009,6.4257
08/21/2009,6.4429
08/24/2009,6.3314
08/25/2009,6.3514
08/26/2009,6.2814
08/27/2009,6.25
08/28/2009,6.3171
08/31/2009,6.2329
09/01/2009,6.0214
09/02/2009,5.9686
09/03/2009,5.7557
09/04/2009,5.85
09/08/2009,5.9257
09/09/2009,6.1757
09/10/2009,6.2143
09/11/2009,6.0943
09/14/2009,6.1829
09/15/2009,6.4243
09/16/2009,6.6857
09/17/2009,6.6343
09/18/2009,6.7714
09/21/2009,6.7857
09/22/2009,6.8186
09/23/2009,6.6929
09/24/2009,6.66
09/25/2009,6.6086
09/28/2009,6.5671
09/29/2009,6.6086
09/30/2009,6.5957
10/01/2009,6.3743
10/02/2009,6.3886
10/05/2009,6.4886
10/06/2009,6.5957
10/07/2009,6.6071
10/08/2009,6.5771
10/09/2009,6.7014
10/12/2009,6.58
10/13/2009,6.6414
10/14/2009,6.8671
10/15/2009,7.1929
10/16/2009,6.9986
10/19/2009,7.1143
10/20/2009,6.9943
10/21/2009,6.8357
10/22/2009,7.09
10/23/2009,7.8414
10/26/2009,7.8814
10/27/2009,7.7486
10/28/2009,7.6486
10/29/2009,7.9029
10/30/2009,7.6357
11/02/2009,7.6857
11/03/2009,7.6786
11/04/2009,7.7371
11/05/2009,8.0557
11/06/2009,7.98
11/09/2009,8.1714
11/10/2009,8.3429
11/11/2009,8.4914
11/12/2009,8.3129
11/13/2009,8.4757
11/16/2009,8.4943
11/17/2009,8.6786
11/18/2009,8.7329
11/19/2009,8.6086
11/20/2009,8.5671
11/23/2009,8.6257
11/24/2009,8.5243
11/25/2009,8.46
11/27/2009,8.2643
11/30/2009,8.3757
12/01/2009,8.3186
12/02/2009,8.4286
12/03/2009,8.2843
12/04/2009,8.0329
12/07/2009,7.9871
12/08/2009,7.9886
12/09/2009,7.9943
12/10/2009,8.1057
12/11/2009,7.9571
12/14/2009,8.0586
12/15/2009,8.1314
12/16/2009,7.8686
12/17/2009,7.6757
12/18/2009,7.61
12/21/2009,7.7086
12/22/2009,7.6586
12/23/2009,8.1214
12/24/2009,8.1271
12/28/2009,8.1914
12/29/2009,8.14
12/30/2009,7.9474
12/31/2009,7.87
01/04/2010,7.64
01/05/2010,7.3586
01/06/2010,7.6171
01/07/2010,7.4857
01/08/2010,7.6143
01/11/2010,7.6043
01/12/2010,7.4814
01/13/2010,7.7086
01/14/2010,7.2843
01/15/2010,7.2786
01/19/2010,7.3143
01/20/2010,7.32
01/21/2010,7.3129
01/22/2010,7.27
01/25/2010,7.0186
01/26/2010,7.1357
01/27/2010,7.2814
01/28/2010,9.0057
01/29/2010,8.8929
02/01/2010,8.7186
02/02/2010,8.8357
02/03/2010,8.85
02/04/2010,8.62
02/05/2010,8.6914
02/08/2010,8.7
02/09/2010,8.8757
02/10/2010,8.7843
02/11/2010,9.0514
02/12/2010,9.0257
02/16/2010,9.2657
02/17/2010,9.2157
02/18/2010,9.4429
02/19/2010,9.5214
02/22/2010,9.3243
02/23/2010,9.1929
02/24/2010,9.2414
02/25/2010,9.3729
02/26/2010,9.4357
03/01/2010,9.9571
03/02/2010,9.8543
03/03/2010,9.65
